iter	Logloss
0	0.6407796119
1	0.597001244
2	0.5649992345
3	0.5350863482
4	0.5146900264
5	0.4983010537
6	0.4852690236
7	0.4737507051
8	0.4611462984
9	0.452039615
10	0.4422015141
11	0.4347392775
12	0.4308468602
13	0.425579879
14	0.4195317057
15	0.4154055296
16	0.4116642872
17	0.4074616928
18	0.402986444
19	0.3992830791
20	0.3970219421
21	0.394760279
22	0.3894977327
23	0.3863158061
24	0.3841464781
25	0.3821096835
26	0.3801458547
27	0.3753080692
28	0.3712454996
29	0.368090514
30	0.3631796774
31	0.3611972795
32	0.3570720531
33	0.3554757055
34	0.3512545864
35	0.3499293901
36	0.3470652127
37	0.3460517731
38	0.3445864456
39	0.3426320856
40	0.3412687044
41	0.338101895
42	0.337121323
43	0.3358527945
44	0.3326160398
45	0.3297606782
46	0.3291155622
47	0.3268493279
48	0.3219424968
49	0.316855979
50	0.3163087032
51	0.3136268852
52	0.3124057905
53	0.3106249797
54	0.3081566684
55	0.3078541466
56	0.3068527387
57	0.3046457199
58	0.3038503666
59	0.3029406052
60	0.3001732644
61	0.2990027411
62	0.2980271978
63	0.2955112864
64	0.2946774004
65	0.2933258312
66	0.2924386902
67	0.2917866438
68	0.291192368
69	0.2900212468
70	0.2896378214
71	0.2889184188
72	0.2883517259
73	0.2876625408
74	0.2871256763
75	0.2866691458
76	0.2859328914
77	0.2848254494
78	0.2831850477
79	0.2823690587
80	0.2801955979
81	0.2791980905
82	0.278414593
83	0.2759820271
84	0.2733497567
85	0.2726191155
86	0.2721501837
87	0.2709946498
88	0.2701205523
89	0.2695849309
90	0.2682823013
91	0.2671819517
92	0.2667767492
93	0.2662548042
94	0.2657947061
95	0.2648449753
96	0.2640287156
97	0.2620026557
98	0.260778748
99	0.2601320021
100	0.2595675637
101	0.2591134605
102	0.2585778898
103	0.2580487578
104	0.2575945445
105	0.2551246458
106	0.2526721185
107	0.249913241
108	0.2485768862
109	0.2480878413
110	0.247204933
111	0.2462963183
112	0.2445546938
113	0.2430285621
114	0.2417500285
115	0.2413159828
116	0.2401967367
117	0.2392870988
118	0.2389218787
119	0.2383580937
120	0.2378460521
121	0.2369398419
122	0.2352853459
123	0.2346147353
124	0.2327447193
125	0.2323573349
126	0.2318714191
127	0.2315626468
128	0.2308085889
129	0.2299944574
130	0.2295251993
131	0.2292800703
132	0.2288020708
133	0.2281672032
134	0.2274925557
135	0.2271956738
136	0.2264438715
137	0.2260207681
138	0.2255277233
139	0.2248895333
140	0.2242312556
141	0.2239049898
142	0.2230690735
143	0.2221381343
144	0.2214164252
145	0.2209748042
146	0.2207298812
147	0.2203065479
148	0.2198901072
149	0.219579201
150	0.2191644104
151	0.2187769766
152	0.2185286575
153	0.218297714
154	0.2170679862
155	0.2168477726
156	0.2164694877
157	0.2160341434
158	0.2156561456
159	0.2154512084
160	0.2152252078
161	0.2148637142
162	0.2145449052
163	0.2140937695
164	0.2137325701
165	0.2135651422
166	0.2131979211
167	0.212804941
168	0.212309616
169	0.2120431827
170	0.2117350353
171	0.2111814631
172	0.2109263484
173	0.2105566055
174	0.2104166609
175	0.2098071189
176	0.2093160073
177	0.2090631161
178	0.2084333395
179	0.2073625408
180	0.206825682
181	0.2065225185
182	0.2056502387
183	0.2052883956
184	0.2050324152
185	0.2047149815
186	0.2041186837
187	0.2038721055
188	0.2036971806
189	0.2034055207
190	0.2031373097
191	0.2028271792
192	0.20253755
193	0.202417758
194	0.2019163108
195	0.2015375308
196	0.2013440623
197	0.20055003
198	0.2003429803
199	0.1999990612
